card_id,historical_board,historical_workflow,historical_section,historical_column,column_type,historical_column_parent,"cycle_time (days)",card_title,size,last_moved,type,owners
4378,"Gestão de Manutenção",Desenvolvimento,Progress,"Code Review - Back-end",Activity,"Back - end",0.38,"[back] - Relatório de contas a receber DAF",3,"2024-07-30 23:56:25",Feature,"Maykon,Allan,anderson.barbosa"
4399,"Gestão de Frotas",Desenvolvimento,Progress,"Code Review - Front-end",Activity,"Front - end",0.38,"Criação da Listagem - {Mudanças no comportamento da Tela - QR Code PIX}",3,"2024-06-05 09:35:03",Feature,"Deise,Djonathan,Vinicius"
4400,"Gestão de Frotas",Desenvolvimento,Progress,"Code Review - Front-end",Activity,"Front - end",0.38,"Criação das funcionalidades - {Mudanças no comportamento da Tela - QR Code PIX}",3,"2024-07-30 17:54:39",Feature,"Deise,Djonathan,Vinicius"
4401,"Gestão de Frotas",Desenvolvimento,Progress,"Code Review - Front-end",Activity,"Front - end",0.38,"Criação da Funcionalidade PDF - {Mudanças no comportamento da Tela - QR Code PIX}",3,"2024-07-01 16:08:16",Feature,"Djonathan,Deise,Vinicius"
4428,"Gestão de Frotas",Desenvolvimento,Progress,"Code Review - Back-end",Activity,"Back - end",0.38,"Criação da apresentação dos valores - {Novo limite de crédito ""Prépago""}",5,"2024-06-11 18:14:25",Feature,"Djonathan,Vinicius"
4439,"Gestão de Frotas",Desenvolvimento,Progress,"Em Andamento",Activity,"Front - end",0.38,"Refatorar tela Contestação",2,,Refactoring,mateusKamel
4462,"Gestão de Frotas",Desenvolvimento,Progress,"Validação QA",Activity,"Revisão QA",0.38,"Correção no relatório não informar transações recusadas e faturadas - Contas a Receber - Transações não faturadas",3,"2024-06-21 07:20:23",Hotfix,"Lucas,Vinicius"
4517,"Logística + Gestão de Despesas",Desenvolvimento,Progress,Backlog,Queue,Back-end,0.38,"Habilitar APM",3,"2024-07-10 14:11:19",Hotfix,"André,larissabraun"
4525,"Logística + Gestão de Despesas",Desenvolvimento,Progress,Backlog,Queue,Front-end,0.38,"Favoritar contatos para transferência Pix",3,,Feature,"Marcos Castro,larissabraun"
4583,"Gestão de Manutenção",Desenvolvimento,Progress,"Em Andamento",Activity,"Front - end",0.38,"[FE] - Novo Relatório de contas a receber para DAF",,"2024-08-01 17:54:13",Feature,"Allan,anderson.barbosa"
4615,"Gestão de Frotas",Desenvolvimento,Progress,"Code Review - Back-end",Activity,"Back - end",0.38,"Média mínima e máxima para transações - Regra de Transação",5,"2024-08-02 09:06:05",Feature,"Marlon,larissabraun"
4616,"Gestão de Frotas",Desenvolvimento,Progress,"Code Review - Back-end",Activity,"Back - end",0.34,"Novas regras de tolerancia - Regras de Transação",5,"2024-08-05 08:05:50",Feature,"Lucas,larissabraun"
4616,"Gestão de Frotas",Desenvolvimento,Progress,Backlog,Activity,"Front - end",0.04,"Novas regras de tolerancia - Regras de Transação",5,"2024-08-05 08:05:50",Feature,"Lucas,larissabraun"
4626,"Gestão de Frotas",Desenvolvimento,Progress,"Testando QA",Activity,"Revisão QA",0.38,"Alteração no processo de correção transferências ""Com falha ou devolvidas"" - Pagamentos",5,"2024-08-02 14:38:57",Feature,"rodrigo.souza,keilamadap,Vinicius"
4634,"Gestão de Frotas",Desenvolvimento,Progress,Backlog,Activity,"Back - end",0.38,"Criação da rotina de faturamento - {Novo Limite Pré-pago}",8,,Feature,"Djonathan,Vinicius"
4658,"Gestão de Frotas",Desenvolvimento,Progress,Backlog,Activity,"Back - end",0.38,"Implementação do estorno - Novo Limite Pré-pago",5,"2024-07-30 14:48:44",Feature,Vinicius
4676,"Gestão de Frotas",Desenvolvimento,Progress,"Em Andamento",Activity,"Back - end",0.38,"Criação de novo WebHook de envio de passagens - Integração Gestão de Frotas X Logistica",5,"2024-07-23 16:33:23",Feature,"Marlon,Vinicius"
4680,"Gestão de Frotas",Desenvolvimento,Progress,"Validação QA",Activity,"Revisão QA",0.38,"[RF01 a RF04]  - Melhorias para tela Liberação de Regra de Litragem",5,"2024-08-01 09:38:35",Feature,"Lucas,mateusKamel,Vinicius"
4725,"Logística + Gestão de Despesas",Desenvolvimento,Progress,"Em Andamento",Activity,Front-end,0.38,"Implementar componente DataTable",5,"2024-07-25 09:36:54","Design System",natashagomes
4729,"Logística + Gestão de Despesas",Desenvolvimento,Progress,"Em Andamento",Activity,Back-end,0.38,"Aplicação regra parâmetro ""Domínios de e-mail permitidos""",3,"2024-08-02 11:13:33",Feature,"jp.pacheco,larissabraun"
4770,"Logística + Gestão de Despesas",Desenvolvimento,Progress,"Code Review - Back-end",Activity,Back-end,0.38,"BE - Bloquear domínios TruckPag Bank e outras empresas do grupo para cadastro apenas ADMIN MASTER",1,"2024-08-02 08:32:38",Feature,"jp.pacheco,larissabraun"
4773,"Logística + Gestão de Despesas",Desenvolvimento,Progress,"Em Andamento",Activity,Back-end,0.38,"Utilização do pacote Passport do Laravel para geração de token JWT",2,"2024-08-01 00:01:49",Feature,"João,larissabraun"
4776,"Logística + Gestão de Despesas",Desenvolvimento,Progress,"Aguardando Back-end",Activity,Front-end,0.38,"FE - Construção do fluxo de valores entre contas - VPO",5,"2024-07-25 09:36:06",Feature,"natashagomes,larissabraun"
4778,"Logística + Gestão de Despesas",Desenvolvimento,Progress,Backlog,Queue,Back-end,0.38,"BE - Fluxo cancelamento - VPO",3,"2024-07-02 10:28:15",Feature,"jallyson,larissabraun"
4796,"Gestão de Manutenção",Desenvolvimento,Progress,Backlog,Activity,"Back - end",0.38,"Refatorar os testes dos layouts para ser apenas um.",5,"2024-07-15 15:56:50",Refactoring,Maykon
4800,"Gestão de Manutenção",Desenvolvimento,Progress,"Em Andamento",Activity,"Back - end",0.38,"Integração Dealer - Venda oficina",5,"2024-07-15 14:44:35",Feature,"Christian Santos,Joel,anderson.barbosa"
4815,"Logística + Gestão de Despesas",Desenvolvimento,Progress,"Aguardando Back-end",Activity,Front-end,0.38,"FE - Fluxo cancelamento - VPO",3,"2024-07-29 16:29:20",Feature,"Osvaldo,larissabraun"
4918,"Logística + Gestão de Despesas",Desenvolvimento,Progress,"Em Andamento",Activity,Back-end,0.38,"Exibição e tradução de erros no módulo BackOffice",3,"2024-07-31 15:15:22",Feature,"Lucas Macena,larissabraun"
4946,"Gestão de Frotas",Desenvolvimento,Progress,"Validação QA",Activity,"Revisão QA",0.38,"Documentação técnica tela ""Permissões de atendimento""",2,"2024-07-31 16:43:25",Documentation,keilamadap
4977,"Logística + Gestão de Despesas",Desenvolvimento,Progress,"Aguardando Front-end",Activity,Back-end,0.38,"Corrigindo layout comprovante pix",1,"2024-07-22 13:43:26",Refactoring,"Lucas Macena,larissabraun"
4994,"Gestão de Frotas",Desenvolvimento,Progress,"Em Andamento",Activity,"Back - end",0.38,"Criação de novo endpoint para listagem de ""Transações Aprovadas"" -  REDE HG",2,"2024-08-01 08:31:10",Integration,"rodrigo.souza,Vinicius"
5000,"Logística + Gestão de Despesas",Desenvolvimento,Progress,"Code Review - Back-end",Activity,Back-end,0.38,"Junção ambientes front-end e back-end - Docker",5,"2024-08-01 00:02:08",Feature,"João,larissabraun"
5005,"Gestão de Frotas",Desenvolvimento,Progress,Backlog,Activity,"Back - end",0.38,"Regua de Cobrança - Envio Alerta WhatsApp",5,"2024-07-23 15:39:12",Feature,"Djonathan,Vinicius"
5009,"Gestão de Frotas",Desenvolvimento,Progress,"Code Review - Back-end",Activity,"Back - end",0.38,"Ajuste na integração TRANSJORDANO E RODOPAR",3,"2024-08-01 09:12:54",Integration,"Lucas,Vinicius"
5016,"Gestão de Manutenção",Desenvolvimento,Progress,"Em Andamento",Activity,"Back - end",0.38,"Correção relatório Comparativo percentual de peças X mão de obra",2,"2024-07-24 16:32:41",Hotfix,"benjamim,Joel"
5017,"Gestão de Frotas",Desenvolvimento,Progress,"Em Andamento",Activity,"Back - end",0.38,"Novo layout de integração - Cliente TUON x Sistema Datamex",3,"2024-07-26 09:33:39",Integration,"rodrigo.souza,larissabraun"
5028,"Gestão de Frotas",Desenvolvimento,Progress,Backlog,Activity,"Back - end",0.08,"Ajustar funcionalidade ""Desfazer"" para transações de Estorno - Manuntenção",3,"2024-08-05 07:14:08",Feature,"Lucas,Vinicius"
5036,"Gestão de Manutenção",Desenvolvimento,Progress,Backlog,Activity,"Back - end",0.38,"Criação de testes automatizados faturamento DAF",5,"2024-07-31 10:58:30",Feature,"Maykon,raul.kletemberg"
5037,"Gestão de Manutenção",Desenvolvimento,Progress,"Em Andamento",Activity,"Back - end",0.38,"Criação de testes automatizados faturamento GM não DAF",5,"2024-08-01 09:23:58",Feature,"Christian Santos,raul.kletemberg"
5038,"Gestão de Frotas",Desenvolvimento,Progress,"Validação QA",Activity,"Revisão QA",0.38,"Remover todos os ducks e sagas que não são mais utilizados",2,,Refactoring,Fernando
5040,"Gestão de Frotas",Desenvolvimento,Progress,"Testando QA",Activity,"Revisão QA",0.38,"Refatorar tela ""Gestão à Vista""",3,"2024-08-01 12:33:01",Refactoring,Fernando
5057,"Logística + Gestão de Despesas",Desenvolvimento,Progress,"Code Review - Front-end",Activity,Front-end,0.38,"Atualizar pacotes",3,"2024-08-02 16:25:40",Feature,Osvaldo
5058,"Gestão de Manutenção",Desenvolvimento,Progress,"Em Andamento",Activity,"Back - end",0.38,"Criação de testes automatizados faturamento DAF",2,,Feature,Maykon
5059,"Logística + Gestão de Despesas",Desenvolvimento,Progress,"Em Andamento",Activity,Front-end,0.38,"FE - Bloquear domínios TruckPag Bank e outras empresas do grupo para cadastro apenas ADMIN MASTER",2,"2024-07-31 14:40:24",Feature,"Geovani,larissabraun"
5062,"Logística + Gestão de Despesas",Desenvolvimento,Progress,"Em Andamento",Activity,Front-end,0.38,"FE - Junção ambientes front-end e back-end - Docker",5,,Feature,Osvaldo
5071,"Gestão de Frotas",Desenvolvimento,Progress,"Em Andamento",Activity,"Front - end",0.38,"Documentação técnica - Configurações/Parâmetros do Sistema",2,,Documentation,keilamadap
5075,"Logística + Gestão de Despesas",Desenvolvimento,Progress,Backlog,Queue,Back-end,0.38,"Ajustes nos comprovantes PIX",,,Hotfix,"Marcos Castro,Vinicius"
